Name,Runtime,batch_size,epochs,lr,learning_Rate,train_Acc,train_loss,validation_Acc,validation_loss,,dropout,scheduler,weight decay,label smoothing
basic_e1,799,64,10,0.1,0.1,54.46040905,2.335924858,34.04079068,3.866774755,,0,0,0,0
r100_e1,53130,64,32,0.1,0.0531441,63.45049703,5.900433946,65.39933729,4.612486382,,0.1,0.9/step5,1.00E-06,0.1
r100_e2,63572,64,55,0.1,0.034867844,75.32349749,5.351214589,67.69309872,4.493866221,,0.1,0.9/step5,5.00E-06,0
r50_e1,60514,64,50,0.1,0.091351725,81.75274223,4.550611883,71.33797989,2.189710455,,0,0.99/step5,1.00E-04,0
r50_e2,30486,128,40,0.1,0.04782969,90.59429273,4.338786031,78.60686588,1.783250913,,0,0.9/step5,1.00E-05,0
r50_e3,64738,128,84,0.1,0.018530202,94.82761083,4.604402026,79.72456661,2.920218396,,0.1,0.9/step5,1.00E-05,0.1
r50_e4,33781,128,43,0.1,0.06561,89.79376143,4.315335142,76.91320712,1.956668736,,0.1,0.9/step10,1.00E-05,0
